装备编号	部件编号	部件位置
227		0
228		0
229		0
230	25	0
231	4	0
232		0
233		0
234		0
235	33	0
236	16	0
237		0
238		0
239		0
240	27	0
241	16	0
242		0
243		0
244		0
245	25	0
246		0
247		0
248		0
249		0
250	23	0
251	4	0
252		0
253		0
254		0
255	19	0
256	4	0
257		0
258		0
259		0
260	19	0
261		0
262		0
263		0
264		0
265	25	0
266	16	0
267		0
268		0
269		0
270	31	0
271		0
272		0
273		0
274		0
275	9	0
276	30	0
277		0
278		0
279		0
280	25	0
281	9	0
282		0
283		0
284		0
285	9	0
286		0
287		0
288		0
289		0
290	21	0
291	12	0
292		0
293		0
294		0
295	21	0
296		0
297		0
298		0
299		0
300	21	0
301	12	0
302		0
303		0
304		0
305	13	0
306		0
307		0
308		0
309		0
310	19	0
311	19	0
312		0
313		0
314		0
315	29	0
316	19	0
317		0
318		0
319		0
320	27	0
321	10	0
322		0
323		0
324		0
325	13	0
326		0
327		0
328		0
329		0
330	10	0
331		0
332		0
333		0
334		0
335	23	0
336	28	0
337		0
338		0
339		0
340	23	0
341		0
342		0
343		0
344		0
345	25	0
346	27	0
347		0
348		0
349		0
350	6	0
351		0
352		0
353		0
354		0
355	6	0
356		0
357		0
358		0
359		0
360		0
361		0
362		0
363		0
364	19	0
365	16	0
366		0
367		0
368		0
369		0
370		0
371		0
372		0
373	27	0
374		0
375		0
376		0
377		0
378		0
379		0
380	13	0
381	13	0
382		0
383		0
384		0
385		0
386		0
387		0
388		0
389	13	0
390	13	0
391		0
392		0
393		0
394		0
395		0
396		0
397		0
398	13	0
399	13	0
400		0
401		0
402		0
403	13	0
404	13	0
405		0
406		0
407		0
408		0
409		0
410		0
411		0
412	12	0
413		0
414		0
415		0
416	15	0
417		0
418		0
419		0
420		0
421		0
422		0
423		0
424		0
425		0
426		0
427		0
428		0
429		0
430		0
431		0
432		0
433		0
434		0
435		0
436		0
437		0
438		0
439		0
440		0
441		0
442	13	0
443	7	0
444		0
445		0
446		0
447		0
448		0
449		0
450		0
451		0
452	13	0
453	13	0
454		0
455		0
456		0
457	24	0
458		0
459		0
460		0
461		0
462	13	0
463	10	0
464		0
465		0
466		0
467	22	0
468		0
469		0
470		0
471		0
472	13	0
473	13	0
474		0
475		0
476		0
477	22	0
478		0
479		0
480		0
481		0
482	15	0
483	13	0
484		0
485		0
486		0
487	22	0
488		0
489		0
490		0
491		0
492		0
493		0
494		0
495		0
496		0
497		0
498		0
499	16	0
500	16	0
501		0
502		0
503		0
504		0
505		0
506		0
507		0
905		0
906	2	0
907		0
908		0
909		0
910	2	0
911	2	0
912		0
913		0
914		0
915		0
916	2	0
917		0
918		0
919		0
920	2	0
921	14	0
922		0
923		0
924		0
925		0
926	2	0
927		0
928		0
929		0
930	2	0
931	8	0
932		0
933		0
934		0
935		0
936	14	0
937		0
938		0
939		0
940	14	0
941	20	0
942		0
943		0
944		0
945		0
946	14	0
947		0
948		0
949		0
950	14	0
951	11	0
952		0
953		0
954		0
955		0
956	14	0
957		0
958		0
959		0
960	14	0
961	8	0
962		0
963		0
964		0
965		0
966	11	0
967		0
968		0
969		0
970	11	0
971	5	0
972		0
973		0
974		0
975		0
976	11	0
977		0
978		0
979		0
980	11	0
981	2	0
982		0
983		0
984		0
985		0
986	8	0
987		0
988		0
989		0
990	8	0
991	8	0
992		0
993		0
994		0
995		0
996	8	0
997		0
998		0
999		0
1000	8	0
1001	17	0
1002		0
1003		0
1004		0
1005		0
1006	8	0
1007		0
1008		0
1009		0
1010	8	0
1011	2	0
1012		0
1013		0
1014		0
1015		0
1016	8	0
1017		0
1018		0
1019		0
1020	8	0
1021	8	0
1022		0
1023		0
1024		0
1025		0
1026	11	0
1027		0
1028		0
1029		0
1030	11	0
1031	2	0
1032		0
1033		0
1034		0
1035		0
1036	11	0
1037		0
1038		0
1039		0
1040	11	0
1041	2	0
1042		0
1043		0
1044		0
1045		0
1046	11	0
1047		0
1048		0
1049		0
1050	11	0
1051	2	0
1052		0
1053		0
1054		0
1055		0
1056	17	0
1057		0
1058		0
1059		0
1060	17	0
1061	2	0
1062		0
1063		0
1064		0
1065		0
1066	17	0
1067		0
1068		0
1069		0
1070	17	0
1071	13	0
1072		0
1073		0
1074		0
1075		0
1076	8	0
1077		0
1078		0
1079		0
1080	8	0
1081	11	0
1082		0
1083		0
1084		0
1085		0
1086	8	0
1087		0
1088		0
1089		0
1090	8	0
1091	8	0
1092		0
1093		0
1094		0
1095		0
1096	5	0
1097		0
1098		0
1099		0
1100	5	0
1101	5	0
1102		0
1103		0
1104		0
1105		0
1106	5	0
1107		0
1108		0
1109		0
1110	5	0
1111	5	0
1112		0
1113		0
1114		0
1115		0
1116	5	0
1117		0
1118		0
1119		0
1120	5	0
1121	8	0
1122		0
1123		0
1124		0
1125		0
1126	5	0
1127		0
1128		0
1129		0
1130	5	0
1131	5	0
1132		0
1133		0
1134		0
1135		0
1136	3	0
1137		0
1138		0
1139		0
1140	3	0
1141	2	0
1142		0
1143		0
1144		0
1145		0
1146	3	0
1147		0
1148		0
1149		0
1150	3	0
1151	28	0
1152		0
1153		0
1154		0
1155		0
1156	3	0
1157		0
1158		0
1159		0
1160	3	0
1161	24	0
1162		0
1163		0
1164		0
1165		0
1166	15	0
1167		0
1168		0
1169		0
1170	15	0
1171	32	0
1172		0
1173		0
1174		0
1175		0
1176	15	0
1177		0
1178		0
1179		0
1180	15	0
1181	26	0
1182		0
1183		0
1184		0
1185		0
1186	15	0
1187		0
1188		0
1189		0
1190	15	0
1191	24	0
1192		0
1193		0
1194		0
1195		0
1196	12	0
1197		0
1198		0
1199		0
1200	12	0
1201	22	0
1202		0
1203		0
1204		0
1205		0
1206	12	0
1207		0
1208		0
1209		0
1210	12	0
1211	2	0
1212		0
1213		0
1214		0
1215		0
1216	9	0
1217		0
1218		0
1219		0
1220	9	0
1221	24	0
1222		0
1223		0
1224		0
1225		0
1226	9	0
1227		0
1228		0
1229		0
1230	9	0
1231	30	0
1232		0
1233		0
1234		0
1235		0
1236	9	0
1237		0
1238		0
1239		0
1240	9	0
1241	2	0
1242		0
1243		0
1244		0
1245		0
1246	9	0
1247		0
1248		0
1249		0
1250	9	0
1251	24	0
1252		0
1253		0
1254		0
1255		0
1256	12	0
1257		0
1258		0
1259		0
1260	12	0
1261	2	0
1262		0
1263		0
1264		0
1265		0
1266	12	0
1267		0
1268		0
1269		0
1270	12	0
1271	2	0
1272		0
1273		0
1274		0
1275		0
1276	12	0
1277		0
1278		0
1279		0
1280	12	0
1281	2	0
1282		0
1283		0
1284		0
1285		0
1286	18	0
1287		0
1288		0
1289		0
1290	18	0
1291	2	0
1292		0
1293		0
1294		0
1295		0
1296	18	0
1297		0
1298		0
1299		0
1300	18	0
1301	28	0
1302		0
1303		0
1304		0
1305		0
1306	9	0
1307		0
1308		0
1309		0
1310	9	0
1311	26	0
1312		0
1313		0
1314		0
1315		0
1316	9	0
1317		0
1318		0
1319		0
1320	9	0
1321	24	0
1322		0
1323		0
1324		0
1325		0
1326	6	0
1327		0
1328		0
1329		0
1330	6	0
1331	22	0
1332		0
1333		0
1334		0
1335		0
1336	6	0
1337		0
1338		0
1339		0
1340	6	0
1341	22	0
1342		0
1343		0
1344		0
1345		0
1346	6	0
1347		0
1348		0
1349		0
1350	6	0
1351	24	0
1352		0
1353		0
1354		0
1355		0
1356	6	0
1357		0
1358		0
1359		0
1360	6	0
1361	22	0
1362		0
1363		0
1364		0
1365		0
1366	3	0
1367		0
1368		0
1369		0
1370	3	0
1371	2	0
1372		0
1373		0
1374		0
1375		0
1376	3	0
1377		0
1378		0
1379		0
1380	3	0
1381	28	0
1382		0
1383		0
1384		0
1385		0
1386	3	0
1387		0
1388		0
1389		0
1390	3	0
1391	24	0
1392		0
1393		0
1394		0
1395		0
1396	15	0
1397		0
1398		0
1399		0
1400	15	0
1401	32	0
1402		0
1403		0
1404		0
1405		0
1406	15	0
1407		0
1408		0
1409		0
1410	15	0
1411	26	0
1412		0
1413		0
1414		0
1415		0
1416	15	0
1417		0
1418		0
1419		0
1420	15	0
1421	24	0
1422		0
1423		0
1424		0
1425		0
1426	12	0
1427		0
1428		0
1429		0
1430	12	0
1431	22	0
1432		0
1433		0
1434		0
1435		0
1436	12	0
1437		0
1438		0
1439		0
1440	12	0
1441	2	0
1442		0
1443		0
1444		0
1445		0
1446	9	0
1447		0
1448		0
1449		0
1450	9	0
1451	24	0
1452		0
1453		0
1454		0
1455		0
1456	9	0
1457		0
1458		0
1459		0
1460	9	0
1461	30	0
1462		0
1463		0
1464		0
1465		0
1466	9	0
1467		0
1468		0
1469		0
1470	9	0
1471	2	0
1472		0
1473		0
1474		0
1475		0
1476	9	0
1477		0
1478		0
1479		0
1480	9	0
1481	24	0
1482		0
1483		0
1484		0
1485		0
1486	12	0
1487		0
1488		0
1489		0
1490	12	0
1491	2	0
1492		0
1493		0
1494		0
1495		0
1496	12	0
1497		0
1498		0
1499		0
1500	12	0
1501	2	0
1502		0
1503		0
1504		0
1505		0
1506	12	0
1507		0
1508		0
1509		0
1510	12	0
1511	2	0
1512		0
1513		0
1514		0
1515		0
1516	18	0
1517		0
1518		0
1519		0
1520	18	0
1521	2	0
1522		0
1523		0
1524		0
1525		0
1526	18	0
1527		0
1528		0
1529		0
1530	18	0
1531	28	0
1532		0
1533		0
1534		0
1535		0
1536	9	0
1537		0
1538		0
1539		0
1540	9	0
1541	26	0
1542		0
1543		0
1544		0
1545		0
1546	9	0
1547		0
1548		0
1549		0
1550	9	0
1551	24	0
1552		0
1553		0
1554		0
1555		0
1556	6	0
1557		0
1558		0
1559		0
1560	6	0
1561	22	0
1562		0
1563		0
1564		0
1565		0
1566	6	0
1567		0
1568		0
1569		0
1570	6	0
1571	22	0
1572		0
1573		0
1574		0
1575		0
1576	6	0
1577		0
1578		0
1579		0
1580	6	0
1581	24	0
1582		0
1583		0
1584		0
1585		0
1586	6	0
1587		0
1588		0
1589		0
1590	6	0
1591	22	0
1592		0
1593		0
1594		0
1595		0
1596	4	0
1597		0
1598		0
1599		0
1600	4	0
1601	2	0
1602		0
1603		0
1604		0
1605		0
1606	4	0
1607		0
1608		0
1609		0
1610	4	0
1611	29	0
1612		0
1613		0
1614		0
1615		0
1616	4	0
1617		0
1618		0
1619		0
1620	4	0
1621	25	0
1622		0
1623		0
1624		0
1625		0
1626	16	0
1627		0
1628		0
1629		0
1630	48	0
1631	33	0
1632		0
1633		0
1634		0
1635		0
1636	16	0
1637		0
1638		0
1639		0
1640	48	0
1641	27	0
1642		0
1643		0
1644		0
1645		0
1646	16	0
1647		0
1648		0
1649		0
1650	48	0
1651	25	0
1652		0
1653		0
1654		0
1655		0
1656	13	0
1657		0
1658		0
1659		0
1660	13	0
1661	23	0
1662		0
1663		0
1664		0
1665		0
1666	13	0
1667		0
1668		0
1669		0
1670	13	0
1671	2	0
1672		0
1673		0
1674		0
1675		0
1676	10	0
1677		0
1678		0
1679		0
1680	10	0
1681	25	0
1682		0
1683		0
1684		0
1685		0
1686	10	0
1687		0
1688		0
1689		0
1690	10	0
1691	31	0
1692		0
1693		0
1694		0
1695		0
1696	10	0
1697		0
1698		0
1699		0
1700	10	0
1701	2	0
1702		0
1703		0
1704		0
1705		0
1706	10	0
1707		0
1708		0
1709		0
1710	10	0
1711	25	0
1712		0
1713		0
1714		0
1715		0
1716	13	0
1717		0
1718		0
1719		0
1720	13	0
1721	2	0
1722		0
1723		0
1724		0
1725		0
1726	13	0
1727		0
1728		0
1729		0
1730	13	0
1731	2	0
1732		0
1733		0
1734		0
1735		0
1736	13	0
1737		0
1738		0
1739		0
1740	13	0
1741	2	0
1742		0
1743		0
1744		0
1745		0
1746	19	0
1747		0
1748		0
1749		0
1750	19	0
1751	2	0
1752		0
1753		0
1754		0
1755		0
1756	19	0
1757		0
1758		0
1759		0
1760	19	0
1761	29	0
1762		0
1763		0
1764		0
1765		0
1766	10	0
1767		0
1768		0
1769		0
1770	10	0
1771	27	0
1772		0
1773		0
1774		0
1775		0
1776	10	0
1777		0
1778		0
1779		0
1780	10	0
1781	25	0
1782		0
1783		0
1784		0
1785		0
1786	7	0
1787		0
1788		0
1789		0
1790	7	0
1791	23	0
1792		0
1793		0
1794		0
1795		0
1796	7	0
1797		0
1798		0
1799		0
1800	7	0
1801	23	0
1802		0
1803		0
1804		0
1805		0
1806	7	0
1807		0
1808		0
1809		0
1810	7	0
1811	25	0
1812		0
1813		0
1814		0
1815		0
1816	7	0
1817		0
1818		0
1819		0
1820	7	0
1821	23	0
1822		0
1823		0
1824		0
1825		0
1826	4	0
1827		0
1828		0
1829		0
1830	4	0
1831	2	0
1832		0
1833		0
1834		0
1835		0
1836	4	0
1837		0
1838		0
1839		0
1840	4	0
1841	42	0
1842		0
1843		0
1844		0
1845		0
1846	4	0
1847		0
1848		0
1849		0
1850	4	0
1851	34	0
1852		0
1853		0
1854		0
1855		0
1856	16	0
1857		0
1858		0
1859		0
1860	48	0
1861	45	0
1862		0
1863		0
1864		0
1865		0
1866	16	0
1867		0
1868		0
1869		0
1870	48	0
1871	40	0
1872		0
1873		0
1874		0
1875		0
1876	16	0
1877		0
1878		0
1879		0
1880	48	0
1881	34	0
1882		0
1883		0
1884		0
1885		0
1886	13	0
1887		0
1888		0
1889		0
1890	13	0
1891	38	0
1892		0
1893		0
1894		0
1895		0
1896	13	0
1897		0
1898		0
1899		0
1900	13	0
1901	2	0
1902		0
1903		0
1904		0
1905		0
1906	10	0
1907		0
1908		0
1909		0
1910	10	0
1911	35	0
1912		0
1913		0
1914		0
1915		0
1916	10	0
1917		0
1918		0
1919		0
1920	10	0
1921	44	0
1922		0
1923		0
1924		0
1925		0
1926	10	0
1927		0
1928		0
1929		0
1930	10	0
1931	2	0
1932		0
1933		0
1934		0
1935		0
1936	10	0
1937		0
1938		0
1939		0
1940	10	0
1941	36	0
1942		0
1943		0
1944		0
1945		0
1946	13	0
1947		0
1948		0
1949		0
1950	13	0
1951	2	0
1952		0
1953		0
1954		0
1955		0
1956	13	0
1957		0
1958		0
1959		0
1960	13	0
1961	2	0
1962		0
1963		0
1964		0
1965		0
1966	13	0
1967		0
1968		0
1969		0
1970	13	0
1971	2	0
1972		0
1973		0
1974		0
1975		0
1976	19	0
1977		0
1978		0
1979		0
1980	19	0
1981	2	0
1982		0
1983		0
1984		0
1985		0
1986	19	0
1987		0
1988		0
1989		0
1990	19	0
1991	43	0
1992		0
1993		0
1994		0
1995		0
1996	10	0
1997		0
1998		0
1999		0
2000	10	0
2001	41	0
2002		0
2003		0
2004		0
2005		0
2006	10	0
2007		0
2008		0
2009		0
2010	10	0
2011	34	0
2012		0
2013		0
2014		0
2015		0
2016	7	0
2017		0
2018		0
2019		0
2020	7	0
2021	39	0
2022		0
2023		0
2024		0
2025		0
2026	7	0
2027		0
2028		0
2029		0
2030	7	0
2031	39	0
2032		0
2033		0
2034		0
2035		0
2036	7	0
2037		0
2038		0
2039		0
2040	7	0
2041	37	0
2042		0
2043		0
2044		0
2045		0
2046	7	0
2047		0
2048		0
2049		0
2050	7	0
2051	37	0
2052		0
2053		0
2054		0
2055		0
2056	23	0
2057		0
2058		0
2059		0
2060	49	0
2061	46	0
2062		0
2063		0
2064		0
2065		0
2066	23	0
2067		0
2068		0
2069		0
2070	49	0
2071	42	0
2072		0
2073		0
2074		0
2075		0
2076	23	0
2077		0
2078		0
2079		0
2080	49	0
2081	54	0
2082		0
2083		0
2084		0
2085		0
2086	24	0
2087		0
2088		0
2089		0
2090	50	0
2091	62	0
2092		0
2093		0
2094		0
2095		0
2096	24	0
2097		0
2098		0
2099		0
2100	50	0
2101	52	0
2102		0
2103		0
2104		0
2105		0
2106	24	0
2107		0
2108		0
2109		0
2110	50	0
2111	54	0
2112		0
2113		0
2114		0
2115		0
2116	25	0
2117		0
2118		0
2119		0
2120	51	0
2121	59	0
2122		0
2123		0
2124		0
2125		0
2126	25	0
2127		0
2128		0
2129		0
2130	51	0
2131	47	0
2132		0
2133		0
2134		0
2135		0
2136	25	0
2137		0
2138		0
2139		0
2140	51	0
2141	56	0
2142		0
2143		0
2144		0
2145		0
2146	25	0
2147		0
2148		0
2149		0
2150	51	0
2151	63	0
2152		0
2153		0
2154		0
2155		0
2156	26	0
2157		0
2158		0
2159		0
2160	52	0
2161	48	0
2162		0
2163		0
2164		0
2165		0
2166	26	0
2167		0
2168		0
2169		0
2170	52	0
2171	55	0
2172		0
2173		0
2174		0
2175		0
2176	26	0
2177		0
2178		0
2179		0
2180	52	0
2181	48	0
2182		0
2183		0
2184		0
2185		0
2186	26	0
2187		0
2188		0
2189		0
2190	52	0
2191	48	0
2192		0
2193		0
2194		0
2195		0
2196	26	0
2197		0
2198		0
2199		0
2200	52	0
2201	48	0
2202		0
2203		0
2204		0
2205		0
2206	27	0
2207		0
2208		0
2209		0
2210	53	0
2211	49	0
2212		0
2213		0
2214		0
2215		0
2216	27	0
2217		0
2218		0
2219		0
2220	53	0
2221	43	0
2222		0
2223		0
2224		0
2225		0
2226	28	0
2227		0
2228		0
2229		0
2230	54	0
2231	53	0
2232		0
2233		0
2234		0
2235		0
2236	28	0
2237		0
2238		0
2239		0
2240	54	0
2241	57	0
2242		0
2243		0
2244		0
2245		0
2246	29	0
2247		0
2248		0
2249		0
2250	55	0
2251	60	0
2252		0
2253		0
2254		0
2255		0
2256	29	0
2257		0
2258		0
2259		0
2260	55	0
2261	60	0
2262		0
2263		0
2264		0
2265		0
2266	29	0
2267		0
2268		0
2269		0
2270	55	0
2271	58	0
2272		0
2273		0
2274		0
2275		0
2276	29	0
2277		0
2278		0
2279		0
2280	55	0
2281	61	0
2282		0
2283		0
2284		0
2285		0
2286	23	0
2287		0
2288		0
2289		0
2290	49	0
2291	46	0
2292		0
2293		0
2294		0
2295		0
2296	23	0
2297		0
2298		0
2299		0
2300	49	0
2301	42	0
2302		0
2303		0
2304		0
2305		0
2306	23	0
2307		0
2308		0
2309		0
2310	49	0
2311	54	0
2312		0
2313		0
2314		0
2315		0
2316	24	0
2317		0
2318		0
2319		0
2320	50	0
2321	62	0
2322		0
2323		0
2324		0
2325		0
2326	24	0
2327		0
2328		0
2329		0
2330	50	0
2331	52	0
2332		0
2333		0
2334		0
2335		0
2336	24	0
2337		0
2338		0
2339		0
2340	50	0
2341	54	0
2342		0
2343		0
2344		0
2345		0
2346	25	0
2347		0
2348		0
2349		0
2350	51	0
2351	59	0
2352		0
2353		0
2354		0
2355		0
2356	25	0
2357		0
2358		0
2359		0
2360	51	0
2361	47	0
2362		0
2363		0
2364		0
2365		0
2366	25	0
2367		0
2368		0
2369		0
2370	51	0
2371	56	0
2372		0
2373		0
2374		0
2375		0
2376	25	0
2377		0
2378		0
2379		0
2380	51	0
2381	63	0
2382		0
2383		0
2384		0
2385		0
2386	26	0
2387		0
2388		0
2389		0
2390	52	0
2391	48	0
2392		0
2393		0
2394		0
2395		0
2396	26	0
2397		0
2398		0
2399		0
2400	52	0
2401	55	0
2402		0
2403		0
2404		0
2405		0
2406	26	0
2407		0
2408		0
2409		0
2410	52	0
2411	48	0
2412		0
2413		0
2414		0
2415		0
2416	26	0
2417		0
2418		0
2419		0
2420	52	0
2421	48	0
2422		0
2423		0
2424		0
2425		0
2426	26	0
2427		0
2428		0
2429		0
2430	52	0
2431	48	0
2432		0
2433		0
2434		0
2435		0
2436	27	0
2437		0
2438		0
2439		0
2440	53	0
2441	49	0
2442		0
2443		0
2444		0
2445		0
2446	27	0
2447		0
2448		0
2449		0
2450	53	0
2451	43	0
2452		0
2453		0
2454		0
2455		0
2456	28	0
2457		0
2458		0
2459		0
2460	54	0
2461	53	0
2462		0
2463		0
2464		0
2465		0
2466	28	0
2467		0
2468		0
2469		0
2470	54	0
2471	57	0
2472		0
2473		0
2474		0
2475		0
2476	29	0
2477		0
2478		0
2479		0
2480	55	0
2481	60	0
2482		0
2483		0
2484		0
2485		0
2486	29	0
2487		0
2488		0
2489		0
2490	55	0
2491	60	0
2492		0
2493		0
2494		0
2495		0
2496	29	0
2497		0
2498		0
2499		0
2500	55	0
2501	58	0
2502		0
2503		0
2504		0
2505		0
2506	29	0
2507		0
2508		0
2509		0
2510	55	0
2511	61	0
2512		0
2513		0
2514		0
2515		0
2516	23	0
2517		0
2518		0
2519		0
2520	49	0
2521	46	0
2522		0
2523		0
2524		0
2525		0
2526	23	0
2527		0
2528		0
2529		0
2530	49	0
2531	42	0
2532		0
2533		0
2534		0
2535		0
2536	23	0
2537		0
2538		0
2539		0
2540	49	0
2541	54	0
2542		0
2543		0
2544		0
2545		0
2546	24	0
2547		0
2548		0
2549		0
2550	50	0
2551	62	0
2552		0
2553		0
2554		0
2555		0
2556	24	0
2557		0
2558		0
2559		0
2560	50	0
2561	52	0
2562		0
2563		0
2564		0
2565		0
2566	24	0
2567		0
2568		0
2569		0
2570	50	0
2571	54	0
2572		0
2573		0
2574		0
2575		0
2576	25	0
2577		0
2578		0
2579		0
2580	51	0
2581	59	0
2582		0
2583		0
2584		0
2585		0
2586	25	0
2587		0
2588		0
2589		0
2590	51	0
2591	47	0
2592		0
2593		0
2594		0
2595		0
2596	25	0
2597		0
2598		0
2599		0
2600	51	0
2601	56	0
2602		0
2603		0
2604		0
2605		0
2606	25	0
2607		0
2608		0
2609		0
2610	51	0
2611	63	0
2612		0
2613		0
2614		0
2615		0
2616	26	0
2617		0
2618		0
2619		0
2620	52	0
2621	48	0
2622		0
2623		0
2624		0
2625		0
2626	26	0
2627		0
2628		0
2629		0
2630	52	0
2631	55	0
2632		0
2633		0
2634		0
2635		0
2636	26	0
2637		0
2638		0
2639		0
2640	52	0
2641	48	0
2642		0
2643		0
2644		0
2645		0
2646	26	0
2647		0
2648		0
2649		0
2650	52	0
2651	48	0
2652		0
2653		0
2654		0
2655		0
2656	26	0
2657		0
2658		0
2659		0
2660	52	0
2661	48	0
2662		0
2663		0
2664		0
2665		0
2666	27	0
2667		0
2668		0
2669		0
2670	53	0
2671	49	0
2672		0
2673		0
2674		0
2675		0
2676	27	0
2677		0
2678		0
2679		0
2680	53	0
2681	43	0
2682		0
2683		0
2684		0
2685		0
2686	28	0
2687		0
2688		0
2689		0
2690	54	0
2691	53	0
2692		0
2693		0
2694		0
2695		0
2696	28	0
2697		0
2698		0
2699		0
2700	54	0
2701	57	0
2702		0
2703		0
2704		0
2705		0
2706	29	0
2707		0
2708		0
2709		0
2710	55	0
2711	60	0
2712		0
2713		0
2714		0
2715		0
2716	29	0
2717		0
2718		0
2719		0
2720	55	0
2721	60	0
2722		0
2723		0
2724		0
2725		0
2726	29	0
2727		0
2728		0
2729		0
2730	55	0
2731	58	0
2732		0
2733		0
2734		0
2735		0
2736	29	0
2737		0
2738		0
2739		0
2740	55	0
2741	61	0
2742		0
2743		0
2744		0
2745		
2746	4	
2747		
2748		
2749		
2750	4	
2751	46	
2752		
2753		
2754		
2755		
2756	4	
2757		
2758		
2759		
2760	4	
2761	42	
2762		
2763		
2764		
2765		
2766	4	
2767		
2768		
2769		
2770	4	
2771	54	
2772		
2773		
2774		
2775		
2776	16	
2777		
2778		
2779		
2780	48	
2781	62	
2782		
2783		
2784		
2785		
2786	16	
2787		
2788		
2789		
2790	48	
2791	52	
2792		
2793		
2794		
2795		
2796	16	
2797		
2798		
2799		
2800	48	
2801	54	
2802		
2803		
2804		
2805		
2806	13	
2807		
2808		
2809		
2810	13	
2811	59	
2812		
2813		
2814		
2815		
2816	13	
2817		
2818		
2819		
2820	13	
2821	47	
2822		
2823		
2824		
2825		
2826	10	
2827		
2828		
2829		
2830	10	
2831	56	
2832		
2833		
2834		
2835		
2836	10	
2837		
2838		
2839		
2840	10	
2841	63	
2842		
2843		
2844		
2845		
2846	10	
2847		
2848		
2849		
2850	10	
2851	48	
2852		
2853		
2854		
2855		
2856	10	
2857		
2858		
2859		
2860	10	
2861	55	
2862		
2863		
2864		
2865		
2866	13	
2867		
2868		
2869		
2870	13	
2871	48	
2872		
2873		
2874		
2875		
2876	13	
2877		
2878		
2879		
2880	13	
2881	48	
2882		
2883		
2884		
2885		
2886	13	
2887		
2888		
2889		
2890	13	
2891	48	
2892		
2893		
2894		
2895		
2896	19	
2897		
2898		
2899		
2900	19	
2901	49	
2902		
2903		
2904		
2905		
2906	19	
2907		
2908		
2909		
2910	19	
2911	43	
2912		
2913		
2914		
2915		
2916	10	
2917		
2918		
2919		
2920	10	
2921	53	
2922		
2923		
2924		
2925		
2926	10	
2927		
2928		
2929		
2930	10	
2931	57	
2932		
2933		
2934		
2935		
2936	7	
2937		
2938		
2939		
2940	7	
2941	60	
2942		
2943		
2944		
2945		
2946	6	
2947		
2948		
2949		
2950	7	
2951	60	
2952		
2953		
2954		
2955		
2956	7	
2957		
2958		
2959		
2960	7	
2961	58	
2962		
2963		
2964		
2965		
2966	7	
2967		
2968		
2969		
2970	7	
2971	61	
2972		
2973		
2974		
2975		
2976	4	
2977		
2978		
2979		
2980	4	
2981	46	
2982		
2983		
2984		
2985		
2986	4	
2987		
2988		
2989		
2990	4	
2991	42	
2992		
2993		
2994		
2995		
2996	4	
2997		
2998		
2999		
3000	4	
3001	54	
3002		
3003		
3004		
3005		
3006	16	
3007		
3008		
3009		
3010	48	
3011	62	
3012		
3013		
3014		
3015		
3016	16	
3017		
3018		
3019		
3020	48	
3021	52	
3022		
3023		
3024		
3025		
3026	16	
3027		
3028		
3029		
3030	48	
3031	54	
3032		
3033		
3034		
3035		
3036	13	
3037		
3038		
3039		
3040	13	
3041	59	
3042		
3043		
3044		
3045		
3046	13	
3047		
3048		
3049		
3050	13	
3051	47	
3052		
3053		
3054		
3055		
3056	10	
3057		
3058		
3059		
3060	10	
3061	56	
3062		
3063		
3064		
